"year","math_stat","programming","pets","sleep_semester","sleep_summer","coffee","height","sports","music","dining","summer","div3","labs","route2"
"Sophomore","3","Yes! I have taken a course where we used R.","1","3.5","6",10,"67.25","Yes","No","Paresky","No",2,0,"Sawyer side"
"First year","0","No, I have no programming experience!","3","7","9",12,"63","No","Yes","Driscoll","No",1,0,"Sawyer side"
"First year","0","No, I have no programming experience!","6","6","7",0,"69","No","Yes","Paresky","No",1,0,"Sawyer side"
"First year","0","No, I have no programming experience!","4","8","7",21,"69","Yes","No","Driscoll","No",2,0,"Schow side"
"First year","0","No, but I have taken other programming courses.","2","7.5","9",0,"69","No","No","Driscoll","No",3,0,"Sawyer side"
"Sophomore","0","No, I have no programming experience!","0","7","9",12,"68","No","Yes","Driscoll","No",2,1,"Schow side"
"Sophomore","0","No, I have no programming experience!","4","6.5","8.5",20,"67","No","Yes","Paresky","No",2,1,"Schow side"
"First year","0","No, I have no programming experience!","1","7","9",0,"71","Yes","No","Driscoll","No",2,0,"Schow side"
"First year","0","No, I have no programming experience!","1","6","11",3,"69","Yes","No","Paresky","No",1,0,"Schow side"
"First year","0","No, I have no programming experience!","0","8","9",3,"65","Yes","No","Driscoll","No",4,2,"Schow side"
"First year","0","No, I have no programming experience!","3","6","7",2,"72","No","No","Paresky","No",2,0,"Sawyer side"
"Sophomore","2","No, but I have taken other programming courses.","7","7","10",0,"70","Yes","Yes","Paresky","No",3,2,"Sawyer side"
"Junior","1","No, but I have taken other programming courses.","2","7.5","8",3.5,"64.5","Yes","No","Paresky","Yes",1,0,"Schow side"
"Sophomore","2","No, I have no programming experience!","2","8","8",0,"76.5","Yes","No","Driscoll","No",1,0,"Sawyer side"
"First year","0","No, but I have taken other programming courses.","1 (a tank of fish)","6","8",0,"70","Yes","Yes","Driscoll","No",1,0,"Schow side"
"First year","0","No, but I have taken other programming courses.","2","6.5","8",3,"64.5","Yes","No","Driscoll","No",4,1,"Schow side"
"First year","0","Yes! I have used R for an independent project or internship.","5","7","8.5",2,"70","Yes","No","Driscoll","No",2,0,"Schow side"
"Sophomore","2","Yes! I have taken a course where we used R.","5","7","8",1,"71","Yes","No","Paresky","No",2,0,"Schow side"
"Sophomore","0","Yes! I have used R for an independent project or internship.","2","6","10",1,"63","No","No","Driscoll","No",4,2,"Schow side"
"Sophomore","0","No, but I have taken other programming courses.","2","7","9",0,"64","No","Yes","Mission","No",3,2,"Schow side"
"First year","0","No, but I have programmed in other languages for fun / independent work / internships.","0","7","9",0,"70","No","Yes","Driscoll","No",2,0,"Sawyer side"
"Junior","2","No, but I have taken other programming courses.","0","6.5","8",5,"64","Yes","No","Driscoll","No",4,3,"Sawyer side"
"Junior","1","No, I have no programming experience!","1","8","9",3,"65","Yes","No","Driscoll","Yes",3,2,"Schow side"
"Sophomore","2","No, but I have taken other programming courses.","2","7","9",2,"66","Yes","No","Driscoll","No",2,0,"Sawyer side"
"First year","1","No, but I have taken other programming courses.","5","6","10",5,"66","Yes","No","Paresky","Yes",2,0,"Sawyer side"
"First year","0","No, I have no programming experience!","0","7","9",1,"73","No","No","Driscoll","No",2,1,"Schow side"
"Sophomore","2","No, but I have programmed in other languages for fun / independent work / internships.","2","6","8",12,"69","No","No","Driscoll","No",2,1,"Sawyer side"
"First year","0","No, I have no programming experience!","4","6","10",7,"67","No","No","Paresky","No",2,0,"Sawyer side"
"First year","0","No, I have no programming experience!","3","8","10",0,"5'11","Yes","No","Paresky","No",1,0,"Sawyer side"
"First year","0","No, I have no programming experience!","3","7","9",0,"65","No","Yes","Driscoll","No",2,1,"Schow side"
"Senior","6+","No, but I have taken other programming courses.","2","8","9",2,"70","Yes","No","Driscoll","No",2,0,"Schow side"
"Junior","3","No, but I have programmed in other languages for fun / independent work / internships.","2","7","7",2,"72","Yes","Yes","Driscoll","Yes",1,0,"Schow side"
"Senior","6+","No, I have no programming experience!","9","8","8",7,"76","Yes","No","Driscoll","No",1,0,"Schow side"
"Senior","1","No, but I have taken other programming courses.","3","7.5","7",7,"72","Yes","No","Driscoll","No",3,1,"Schow side"
"Sophomore","0","No, I have no programming experience!","1","6","9",10,"69","Yes","No","Paresky","No",3,2,"Schow side"
"First year","0","No, I have no programming experience!","Currently, 2: one dog (Seker) and one cat (Melehat). But I have had many pets, from rabbits to turtles.  ","I tried to get anything between 7 and 8. ","Generally 8 hours. ",14,"68","No","No","Driscoll","No",2,0,"Sawyer side"
"Sophomore","0","No, I have no programming experience!","2","8","10",4,"68","Yes","Yes","Driscoll","Yes",1,0,"Sawyer side"
"Junior","1","Yes! I have taken a course where we used R.","5","6","9",0,"68","No","No","Mission","Yes",3,1,"Sawyer side"
"Junior","3","No, but I have programmed in other languages for fun / independent work / internships.","7","8.67","7.5",5,"69","Yes","Yes","Driscoll","",2,1,"Sawyer side"
"Junior","1","Yes! I have taken a course where we used R.","1","8","9",10,"62.4","No","No","Mission","Yes",2,1,"Sawyer side"
